ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T15:56:55+00:00,7208066,0,0,0.000000,99.50,0.00,86,120
2025-10-30T15:56:56+00:00,7208066,0,0,0.000000,99.01,0.00,149,204
2025-10-30T15:56:57+00:00,7208066,0,0,0.000000,99.02,0.00,139,228
2025-10-30T15:56:58+00:00,7208066,0,0,0.000000,99.02,0.00,152,213
2025-10-30T15:56:59+00:00,7208066,0,0,0.000000,98.53,0.00,144,207
2025-10-30T15:57:00+00:00,7208066,0,0,0.000000,99.02,0.00,187,234
2025-10-30T15:57:01+00:00,7208066,0,0,0.000000,99.50,0.00,165,223
2025-10-30T15:57:02+00:00,7208066,0,0,0.000000,98.54,0.00,177,256
2025-10-30T15:57:03+00:00,7208066,0,0,0.000000,99.50,0.00,150,206
2025-10-30T15:57:04+00:00,7208066,0,0,0.000000,99.02,0.00,160,241
2025-10-30T15:57:05+00:00,7208066,0,0,0.000000,99.01,0.00,182,238
2025-10-30T15:57:06+00:00,7208066,0,0,0.000000,99.02,0.00,184,236
2025-10-30T15:57:07+00:00,7208066,0,0,0.000000,98.53,0.00,133,214
2025-10-30T15:57:08+00:00,7208066,0,0,0.000000,99.02,0.00,162,254
2025-10-30T15:57:09+00:00,7287969,79903,79903,0.079903,98.29,0.00,36117,21183
2025-10-30T15:57:10+00:00,7404543,116574,116574,0.116574,98.17,0.00,55430,31355
2025-10-30T15:57:11+00:00,7521255,116712,116712,0.116712,98.77,0.00,55396,31147
2025-10-30T15:57:12+00:00,7636969,115714,115714,0.115714,96.39,0.00,55471,31280
2025-10-30T15:57:13+00:00,7752213,115244,115244,0.115244,98.77,0.00,54659,31660
2025-10-30T15:57:14+00:00,7866283,114070,114070,0.114070,98.17,0.00,51331,29932
2025-10-30T15:57:15+00:00,7983729,117446,117446,0.117446,97.59,0.00,55870,31515
2025-10-30T15:57:16+00:00,8100041,116312,116312,0.116312,97.56,0.00,54595,30992
2025-10-30T15:57:17+00:00,8215103,115062,115062,0.115062,97.56,0.00,54515,30867
2025-10-30T15:57:18+00:00,8330037,114934,114934,0.114934,99.38,0.00,54029,30393
2025-10-30T15:57:19+00:00,8446101,116064,116064,0.116064,96.97,0.00,56137,31215
2025-10-30T15:57:20+00:00,8563549,117448,117448,0.117448,97.59,0.00,54556,30612
2025-10-30T15:57:21+00:00,8679413,115864,115864,0.115864,99.38,0.00,53366,29860
2025-10-30T15:57:22+00:00,8797449,118036,118036,0.118036,96.99,0.00,55423,30862
2025-10-30T15:57:23+00:00,8913863,116414,116414,0.116414,98.77,0.00,55311,30740
2025-10-30T15:57:24+00:00,9030581,116718,116718,0.116718,96.99,0.00,55091,30575
2025-10-30T15:57:25+00:00,9148387,117806,117806,0.117806,98.77,0.00,55916,30826
2025-10-30T15:57:26+00:00,9265141,116754,116754,0.116754,96.39,0.00,56554,31461
2025-10-30T15:57:27+00:00,9382161,117020,117020,0.117020,98.77,0.00,56429,31209
2025-10-30T15:57:28+00:00,9499663,117502,117502,0.117502,96.97,0.00,56416,31016
2025-10-30T15:57:29+00:00,9616873,117210,117210,0.117210,98.77,0.00,55999,30766
