ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T17:04:38+00:00,87590760,0,0,0.000000,99.50,0.00,138,179
2025-10-30T17:04:39+00:00,87590760,0,0,0.000000,99.50,0.00,189,199
2025-10-30T17:04:40+00:00,87590760,0,0,0.000000,99.01,0.00,140,205
2025-10-30T17:04:41+00:00,87590760,0,0,0.000000,99.01,0.00,147,222
2025-10-30T17:04:42+00:00,87590760,0,0,0.000000,99.50,0.00,143,216
2025-10-30T17:04:43+00:00,87590760,0,0,0.000000,98.53,0.49,164,203
2025-10-30T17:04:44+00:00,87590760,0,0,0.000000,99.50,0.00,142,244
2025-10-30T17:04:45+00:00,87590760,0,0,0.000000,98.54,0.00,151,225
2025-10-30T17:04:46+00:00,87590760,0,0,0.000000,99.51,0.00,146,224
2025-10-30T17:04:47+00:00,87590760,0,0,0.000000,99.01,0.00,137,195
2025-10-30T17:04:48+00:00,87590760,0,0,0.000000,99.02,0.00,162,211
2025-10-30T17:04:49+00:00,87696137,105377,105377,0.105377,98.35,0.00,31604,25592
2025-10-30T17:04:50+00:00,87810353,114216,114216,0.114216,98.35,0.00,34382,28124
2025-10-30T17:04:51+00:00,87925423,115070,115070,0.115070,98.90,0.00,33596,27239
2025-10-30T17:04:52+00:00,88040385,114962,114962,0.114962,98.34,0.00,34456,28059
2025-10-30T17:04:53+00:00,88155031,114646,114646,0.114646,98.36,0.00,31713,28233
2025-10-30T17:04:54+00:00,88270277,115246,115246,0.115246,98.90,0.00,31606,28474
2025-10-30T17:04:55+00:00,88385369,115092,115092,0.115092,98.91,0.00,31245,28308
2025-10-30T17:04:56+00:00,88501129,115760,115760,0.115760,98.36,0.00,31708,28457
2025-10-30T17:04:58+00:00,88616841,115712,115712,0.115712,98.90,0.00,32316,28504
2025-10-30T17:04:59+00:00,88732355,115514,115514,0.115514,97.81,0.00,32942,28437
2025-10-30T17:05:00+00:00,88847973,115618,115618,0.115618,98.90,0.00,33096,28403
2025-10-30T17:05:01+00:00,88963415,115442,115442,0.115442,98.35,0.00,32111,28293
2025-10-30T17:05:02+00:00,89079067,115652,115652,0.115652,97.81,0.00,32495,28501
2025-10-30T17:05:03+00:00,89194811,115744,115744,0.115744,98.90,0.00,32128,28544
2025-10-30T17:05:04+00:00,89310449,115638,115638,0.115638,97.83,0.00,32046,28460
2025-10-30T17:05:05+00:00,89425795,115346,115346,0.115346,99.45,0.00,32077,28418
2025-10-30T17:05:06+00:00,89541749,115954,115954,0.115954,98.34,0.00,33214,28332
2025-10-30T17:05:07+00:00,89657315,115566,115566,0.115566,98.90,0.00,32817,27545
2025-10-30T17:05:08+00:00,89773159,115844,115844,0.115844,97.80,0.00,32899,27416
2025-10-30T17:05:09+00:00,89888343,115184,115184,0.115184,98.90,0.00,32231,28297
2025-10-30T17:05:10+00:00,90003825,115482,115482,0.115482,98.36,0.00,32452,28482
2025-10-30T17:05:11+00:00,90119529,115704,115704,0.115704,98.90,0.00,33470,28166
2025-10-30T17:05:12+00:00,90235233,115704,115704,0.115704,98.35,0.00,32850,26920
2025-10-30T17:05:13+00:00,90350497,115264,115264,0.115264,98.34,0.00,32620,26827
2025-10-30T17:05:14+00:00,90465971,115474,115474,0.115474,98.90,0.00,31801,27370
2025-10-30T17:05:15+00:00,90581513,115542,115542,0.115542,98.35,0.00,31543,27300
2025-10-30T17:05:16+00:00,90696867,115354,115354,0.115354,98.36,0.00,31781,27621
2025-10-30T17:05:17+00:00,90812655,115788,115788,0.115788,98.90,0.00,32047,27258
2025-10-30T17:05:18+00:00,90928583,115928,115928,0.115928,97.81,0.00,32248,27205
2025-10-30T17:05:19+00:00,91044353,115770,115770,0.115770,98.89,0.00,33130,27343
2025-10-30T17:05:20+00:00,91160331,115978,115978,0.115978,98.34,0.00,33652,26842
2025-10-30T17:05:21+00:00,91275775,115444,115444,0.115444,98.89,0.00,32345,27230
2025-10-30T17:05:22+00:00,91391209,115434,115434,0.115434,98.37,0.00,31918,28372
2025-10-30T17:05:23+00:00,91506837,115628,115628,0.115628,98.90,0.00,31218,28350
2025-10-30T17:05:24+00:00,91621985,115148,115148,0.115148,98.37,0.00,31347,28313
2025-10-30T17:05:25+00:00,91736931,114946,114946,0.114946,98.90,0.00,31313,28165
2025-10-30T17:05:26+00:00,91853707,116776,116776,0.116776,97.83,0.00,33358,28699
2025-10-30T17:05:27+00:00,91971087,117380,117380,0.117380,98.90,0.00,34170,28789
2025-10-30T17:05:28+00:00,92087569,116482,116482,0.116482,98.36,0.00,32962,28739
2025-10-30T17:05:29+00:00,92203525,115956,115956,0.115956,98.35,0.00,32812,27489
2025-10-30T17:05:30+00:00,92319163,115638,115638,0.115638,97.81,0.00,32739,27576
2025-10-30T17:05:31+00:00,92434629,115466,115466,0.115466,98.90,0.00,32362,27277
2025-10-30T17:05:32+00:00,92549617,114988,114988,0.114988,98.34,0.00,33834,26975
2025-10-30T17:05:33+00:00,92664821,115204,115204,0.115204,98.90,0.00,33456,28459
2025-10-30T17:05:34+00:00,92780249,115428,115428,0.115428,98.35,0.00,32815,28580
2025-10-30T17:05:35+00:00,92895134,114885,114885,0.114885,98.90,0.00,33238,28293
2025-10-30T17:05:36+00:00,93010292,115158,115158,0.115158,97.83,0.00,31676,28515
