ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T16:52:59+00:00,87329501,0,0,0.000000,99.50,0.00,139,144
2025-10-30T16:53:00+00:00,87329503,2,2,0.000002,98.54,0.00,178,220
2025-10-30T16:53:01+00:00,87329504,1,1,0.000001,99.02,0.00,152,231
2025-10-30T16:53:02+00:00,87329504,0,0,0.000000,99.01,0.00,150,202
2025-10-30T16:53:03+00:00,87329504,0,0,0.000000,99.51,0.00,187,257
2025-10-30T16:53:04+00:00,87329504,0,0,0.000000,99.01,0.00,175,224
2025-10-30T16:53:05+00:00,87329504,0,0,0.000000,98.54,0.00,156,215
2025-10-30T16:53:06+00:00,87329504,0,0,0.000000,99.50,0.00,157,234
2025-10-30T16:53:07+00:00,87329504,0,0,0.000000,98.54,0.00,161,252
2025-10-30T16:53:08+00:00,87437220,107716,107716,0.107716,81.68,0.00,33936,1020
2025-10-30T16:53:09+00:00,87441818,4598,4598,0.004598,49.51,0.00,121198,384
2025-10-30T16:53:10+00:00,87442074,256,256,0.000256,49.25,0.00,120918,287
2025-10-30T16:53:11+00:00,87442394,320,320,0.000320,49.50,0.00,117347,428
2025-10-30T16:53:12+00:00,87442778,384,384,0.000384,49.01,0.00,118945,310
2025-10-30T16:53:13+00:00,87443034,256,256,0.000256,49.50,0.00,120683,289
2025-10-30T16:53:14+00:00,87443226,192,192,0.000192,49.25,0.00,119475,417
2025-10-30T16:53:15+00:00,87443610,384,384,0.000384,49.25,0.00,121229,310
2025-10-30T16:53:16+00:00,87443866,256,256,0.000256,49.26,0.00,116191,294
2025-10-30T16:53:17+00:00,87444570,704,704,0.000704,49.50,0.00,115364,201
2025-10-30T16:53:18+00:00,87555405,110835,110835,0.110835,78.03,0.00,35293,1010
2025-10-30T16:53:19+00:00,87564673,9268,9268,0.009268,49.27,0.00,108470,203
2025-10-30T16:53:20+00:00,87564929,256,256,0.000256,49.50,0.00,121759,291
2025-10-30T16:53:21+00:00,87565121,192,192,0.000192,49.50,0.00,120818,422
2025-10-30T16:53:22+00:00,87565633,512,512,0.000512,49.01,0.00,118900,440
2025-10-30T16:53:23+00:00,87565697,64,64,0.000064,49.50,0.00,122348,281
2025-10-30T16:53:24+00:00,87565953,256,256,0.000256,49.01,0.00,120045,283
2025-10-30T16:53:25+00:00,87566465,512,512,0.000512,49.50,0.00,119773,313
2025-10-30T16:53:26+00:00,87566721,256,256,0.000256,49.01,0.00,117164,296
2025-10-30T16:53:27+00:00,87566977,256,256,0.000256,49.50,0.00,118856,294
2025-10-30T16:53:28+00:00,87567361,384,384,0.000384,49.50,0.00,114540,304
2025-10-30T16:53:29+00:00,87567809,448,448,0.000448,49.01,0.00,115223,261
2025-10-30T16:53:30+00:00,87568129,320,320,0.000320,49.50,0.00,123118,425
2025-10-30T16:53:31+00:00,87568321,192,192,0.000192,49.26,0.00,114104,291
2025-10-30T16:53:32+00:00,87568897,576,576,0.000576,49.25,0.00,113354,288
2025-10-30T16:53:33+00:00,87569217,320,320,0.000320,49.50,0.00,115501,300
2025-10-30T16:53:34+00:00,87569345,128,128,0.000128,49.25,0.00,121061,278
2025-10-30T16:53:35+00:00,87569537,192,192,0.000192,49.01,0.00,123066,291
2025-10-30T16:53:36+00:00,87569985,448,448,0.000448,49.50,0.00,114735,256
2025-10-30T16:53:37+00:00,87570369,384,384,0.000384,49.25,0.00,123098,304
2025-10-30T16:53:38+00:00,87570369,0,0,0.000000,49.26,0.00,115797,280
2025-10-30T16:53:40+00:00,87570625,256,256,0.000256,49.25,0.00,123863,522
2025-10-30T16:53:41+00:00,87570881,256,256,0.000256,49.25,0.00,125052,301
2025-10-30T16:53:42+00:00,87571073,192,192,0.000192,49.50,0.00,119994,289
2025-10-30T16:53:43+00:00,87571137,64,64,0.000064,49.25,0.00,118749,278
2025-10-30T16:53:44+00:00,87571393,256,256,0.000256,48.77,0.00,116535,294
