ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T16:17:34+00:00,27597606,0,0,0.000000,99.01,0.00,125,146
2025-10-30T16:17:35+00:00,27597607,1,1,0.000001,99.02,0.00,165,218
2025-10-30T16:17:36+00:00,27597607,0,0,0.000000,99.50,0.00,162,232
2025-10-30T16:17:37+00:00,27597607,0,0,0.000000,99.50,0.00,137,204
2025-10-30T16:17:38+00:00,27597607,0,0,0.000000,99.01,0.00,175,224
2025-10-30T16:17:39+00:00,27597607,0,0,0.000000,99.01,0.00,203,244
2025-10-30T16:17:40+00:00,27597607,0,0,0.000000,99.02,0.00,172,231
2025-10-30T16:17:41+00:00,27597607,0,0,0.000000,99.01,0.00,136,220
2025-10-30T16:17:42+00:00,27597607,0,0,0.000000,99.50,0.00,186,241
2025-10-30T16:17:43+00:00,27597607,0,0,0.000000,98.54,0.00,148,223
2025-10-30T16:17:44+00:00,27597607,0,0,0.000000,99.50,0.00,164,248
2025-10-30T16:17:45+00:00,27601780,4173,4173,0.004173,98.51,0.00,2112,1417
2025-10-30T16:17:47+00:00,27712702,110922,110922,0.110922,99.37,0.00,51675,29929
2025-10-30T16:17:48+00:00,27825084,112382,112382,0.112382,96.97,0.00,52029,29960
2025-10-30T16:17:49+00:00,27941272,116188,116188,0.116188,96.39,0.00,55345,30220
2025-10-30T16:17:50+00:00,28056398,115126,115126,0.115126,97.56,0.00,54899,30194
2025-10-30T16:17:51+00:00,28171538,115140,115140,0.115140,96.95,0.00,53352,29491
2025-10-30T16:17:52+00:00,28286090,114552,114552,0.114552,98.14,0.00,53984,29342
2025-10-30T16:17:53+00:00,28402528,116438,116438,0.116438,96.95,0.00,55296,29820
2025-10-30T16:17:54+00:00,28518390,115862,115862,0.115862,98.15,0.00,54890,29811
2025-10-30T16:17:55+00:00,28635660,117270,117270,0.117270,97.55,0.00,53408,29516
2025-10-30T16:17:56+00:00,28752766,117106,117106,0.117106,97.56,0.00,54883,29680
2025-10-30T16:17:57+00:00,28869208,116442,116442,0.116442,98.76,0.00,52197,28964
2025-10-30T16:17:58+00:00,28983230,114022,114022,0.114022,96.97,0.00,50310,28334
2025-10-30T16:17:59+00:00,29096278,113048,113048,0.113048,98.16,0.00,51114,28744
2025-10-30T16:18:00+00:00,29207506,111228,111228,0.111228,98.74,0.00,50309,28172
2025-10-30T16:18:01+00:00,29319152,111646,111646,0.111646,98.12,0.00,50502,27967
2025-10-30T16:18:02+00:00,29434752,115600,115600,0.115600,98.76,0.00,54700,29829
2025-10-30T16:18:03+00:00,29550338,115586,115586,0.115586,98.75,0.00,54064,29536
2025-10-30T16:18:04+00:00,29666456,116118,116118,0.116118,96.97,0.00,55527,30336
2025-10-30T16:18:05+00:00,29782962,116506,116506,0.116506,97.56,0.00,54614,29760
2025-10-30T16:18:06+00:00,29895692,112730,112730,0.112730,98.75,0.00,49672,27784
2025-10-30T16:18:07+00:00,30008418,112726,112726,0.112726,98.76,0.00,50857,28234
2025-10-30T16:18:08+00:00,30119091,110673,110673,0.110673,97.55,0.00,50030,27726
2025-10-30T16:18:09+00:00,30231645,112554,112554,0.112554,96.32,0.00,52176,28520
2025-10-30T16:18:10+00:00,30344437,112792,112792,0.112792,98.75,0.00,51815,28506
2025-10-30T16:18:11+00:00,30457205,112768,112768,0.112768,98.14,0.00,51174,28179
2025-10-30T16:18:12+00:00,30567131,109926,109926,0.109926,98.12,0.00,49140,27300
2025-10-30T16:18:13+00:00,30678529,111398,111398,0.111398,99.37,0.00,50043,27986
2025-10-30T16:18:14+00:00,30794943,116414,116414,0.116414,96.36,0.00,54770,29882
2025-10-30T16:18:15+00:00,30905326,110383,110383,0.110383,98.73,0.00,50093,27421
2025-10-30T16:18:16+00:00,31020420,115094,115094,0.115094,99.37,0.00,54149,29471
2025-10-30T16:18:17+00:00,31135980,115560,115560,0.115560,98.76,0.00,54734,29801
2025-10-30T16:18:18+00:00,31252576,116596,116596,0.116596,97.53,0.00,54507,29841
2025-10-30T16:18:19+00:00,31369728,117152,117152,0.117152,98.15,0.00,55075,29750
2025-10-30T16:18:20+00:00,31485888,116160,116160,0.116160,97.53,0.00,55703,30110
2025-10-30T16:18:21+00:00,31602940,117052,117052,0.117052,97.55,0.00,56193,30226
2025-10-30T16:18:22+00:00,31721276,118336,118336,0.118336,97.56,0.00,55811,30253
2025-10-30T16:18:23+00:00,31838388,117112,117112,0.117112,98.14,0.00,55173,29897
2025-10-30T16:18:24+00:00,31954518,116130,116130,0.116130,96.34,0.00,54843,29965
2025-10-30T16:18:25+00:00,32071652,117134,117134,0.117134,98.76,0.00,57876,30715
