ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T16:32:34+00:00,48615309,0,0,0.000000,99.50,0.00,146,160
2025-10-30T16:32:35+00:00,48615309,0,0,0.000000,99.02,0.00,164,226
2025-10-30T16:32:36+00:00,48615309,0,0,0.000000,98.53,0.00,141,223
2025-10-30T16:32:37+00:00,48615309,0,0,0.000000,99.02,0.00,198,259
2025-10-30T16:32:38+00:00,48615309,0,0,0.000000,99.51,0.00,172,219
2025-10-30T16:32:39+00:00,48615309,0,0,0.000000,98.52,0.00,209,237
2025-10-30T16:32:40+00:00,48615309,0,0,0.000000,99.02,0.00,171,238
2025-10-30T16:32:41+00:00,48615309,0,0,0.000000,99.01,0.00,159,225
2025-10-30T16:32:42+00:00,48663910,48601,48601,0.048601,87.15,0.00,15551,562
2025-10-30T16:32:43+00:00,48777786,113876,113876,0.113876,75.91,0.00,34877,819
2025-10-30T16:32:44+00:00,48792418,14632,14632,0.014632,51.79,0.00,111649,273
2025-10-30T16:32:45+00:00,48792866,448,448,0.000448,22.17,27.09,127168,315
2025-10-30T16:32:46+00:00,48793314,448,448,0.000448,47.76,1.49,118777,311
2025-10-30T16:32:47+00:00,48793826,512,512,0.000512,49.25,0.00,119423,299
2025-10-30T16:32:48+00:00,48794018,192,192,0.000192,33.33,15.92,124766,290
2025-10-30T16:32:49+00:00,48794338,320,320,0.000320,49.50,0.00,122037,298
2025-10-30T16:32:50+00:00,48794466,128,128,0.000128,20.69,28.08,126773,276
2025-10-30T16:32:51+00:00,48794594,128,128,0.000128,29.85,19.40,121122,288
2025-10-30T16:32:52+00:00,48794914,320,320,0.000320,49.25,0.00,121556,292
2025-10-30T16:32:53+00:00,48795042,128,128,0.000128,49.50,0.00,126316,290
2025-10-30T16:32:54+00:00,48795298,256,256,0.000256,49.01,0.00,118406,297
2025-10-30T16:32:55+00:00,48882261,86963,86963,0.086963,77.10,0.00,51755,739
2025-10-30T16:32:56+00:00,48882517,256,256,0.000256,49.50,0.00,119030,291
2025-10-30T16:32:57+00:00,48882837,320,320,0.000320,49.26,0.00,118167,297
2025-10-30T16:32:58+00:00,48883157,320,320,0.000320,49.01,0.00,122698,290
2025-10-30T16:33:00+00:00,48883285,128,128,0.000128,49.25,0.00,121810,287
2025-10-30T16:33:01+00:00,48883541,256,256,0.000256,49.25,0.00,122442,293
2025-10-30T16:33:02+00:00,48884245,704,704,0.000704,49.50,0.00,117742,286
2025-10-30T16:33:03+00:00,48884501,256,256,0.000256,49.01,0.00,121735,288
2025-10-30T16:33:04+00:00,48884693,192,192,0.000192,49.50,0.00,118081,291
2025-10-30T16:33:05+00:00,48885077,384,384,0.000384,49.25,0.00,120701,299
2025-10-30T16:33:06+00:00,48885717,640,640,0.000640,49.26,0.00,117970,263
2025-10-30T16:33:07+00:00,48886101,384,384,0.000384,49.25,0.00,119662,294
2025-10-30T16:33:08+00:00,48886229,128,128,0.000128,49.50,0.00,124303,414
2025-10-30T16:33:09+00:00,48886805,576,576,0.000576,49.25,0.00,121732,442
2025-10-30T16:33:10+00:00,48887061,256,256,0.000256,49.01,0.00,118607,293
