ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T15:59:12+00:00,14076273,0,0,0.000000,100.00,0.00,109,139
2025-10-30T15:59:13+00:00,14076273,0,0,0.000000,98.53,0.00,176,215
2025-10-30T15:59:14+00:00,14076273,0,0,0.000000,99.51,0.00,163,190
2025-10-30T15:59:15+00:00,14076273,0,0,0.000000,99.50,0.00,161,255
2025-10-30T15:59:16+00:00,14076273,0,0,0.000000,98.54,0.00,149,214
2025-10-30T15:59:17+00:00,14076273,0,0,0.000000,99.02,0.00,190,252
2025-10-30T15:59:18+00:00,14076273,0,0,0.000000,98.53,0.00,178,243
2025-10-30T15:59:19+00:00,14076273,0,0,0.000000,99.02,0.00,190,238
2025-10-30T15:59:20+00:00,14076273,0,0,0.000000,99.01,0.00,154,215
2025-10-30T15:59:21+00:00,14076273,0,0,0.000000,99.02,0.00,148,237
2025-10-30T15:59:22+00:00,14076273,0,0,0.000000,99.02,0.00,146,204
2025-10-30T15:59:23+00:00,14111570,35297,35297,0.035297,98.42,0.00,16466,12390
2025-10-30T15:59:24+00:00,14223726,112156,112156,0.112156,98.77,0.00,47968,29772
2025-10-30T15:59:25+00:00,14336976,113250,113250,0.113250,96.97,0.00,54634,37034
2025-10-30T15:59:26+00:00,14453914,116938,116938,0.116938,97.59,0.00,55274,33317
2025-10-30T15:59:27+00:00,14569082,115168,115168,0.115168,97.56,0.00,55321,32068
2025-10-30T15:59:28+00:00,14685742,116660,116660,0.116660,97.56,0.00,55374,32688
2025-10-30T15:59:29+00:00,14800952,115210,115210,0.115210,98.16,0.00,54927,30577
2025-10-30T15:59:30+00:00,14916066,115114,115114,0.115114,98.16,0.00,54803,30865
2025-10-30T15:59:31+00:00,15031390,115324,115324,0.115324,98.77,0.00,54951,30996
2025-10-30T15:59:32+00:00,15147388,115998,115998,0.115998,97.56,0.00,55500,32464
2025-10-30T15:59:33+00:00,15262398,115010,115010,0.115010,98.16,0.00,55187,32086
2025-10-30T15:59:34+00:00,15378382,115984,115984,0.115984,97.01,0.00,55827,32674
2025-10-30T15:59:35+00:00,15493488,115106,115106,0.115106,98.16,0.00,54939,32130
2025-10-30T15:59:36+00:00,15609732,116244,116244,0.116244,98.17,0.00,55391,32249
2025-10-30T15:59:37+00:00,15726244,116512,116512,0.116512,97.58,0.00,55878,32558
2025-10-30T15:59:38+00:00,15843192,116948,116948,0.116948,97.01,0.00,56136,32197
2025-10-30T15:59:39+00:00,15960706,117514,117514,0.117514,96.41,0.00,55883,31363
2025-10-30T15:59:40+00:00,16076296,115590,115590,0.115590,98.16,0.00,55183,31070
2025-10-30T15:59:41+00:00,16191638,115342,115342,0.115342,97.56,0.00,55287,31208
2025-10-30T15:59:42+00:00,16306906,115268,115268,0.115268,98.16,0.00,54805,31032
2025-10-30T15:59:43+00:00,16422580,115674,115674,0.115674,97.56,0.00,55262,30831
2025-10-30T15:59:44+00:00,16538174,115594,115594,0.115594,98.16,0.00,55278,31035
2025-10-30T15:59:45+00:00,16654116,115942,115942,0.115942,96.39,0.00,55676,31982
2025-10-30T15:59:46+00:00,16771646,117530,117530,0.117530,96.99,0.00,55638,31843
2025-10-30T15:59:48+00:00,16888730,117084,117084,0.117084,97.01,0.00,55610,32505
2025-10-30T15:59:49+00:00,17004132,115402,115402,0.115402,98.77,0.00,55030,32353
2025-10-30T15:59:50+00:00,17119612,115480,115480,0.115480,97.56,0.00,55247,32272
2025-10-30T15:59:51+00:00,17234130,114518,114518,0.114518,96.97,0.00,54920,32933
2025-10-30T15:59:52+00:00,17348562,114432,114432,0.114432,97.56,0.00,55117,33462
2025-10-30T15:59:53+00:00,17463026,114464,114464,0.114464,97.56,0.00,54649,32092
2025-10-30T15:59:54+00:00,17577732,114706,114706,0.114706,96.99,0.00,54997,33296
2025-10-30T15:59:55+00:00,17692864,115132,115132,0.115132,96.41,0.00,55264,32799
2025-10-30T15:59:56+00:00,17809610,116746,116746,0.116746,97.01,0.00,55362,32610
2025-10-30T15:59:57+00:00,17927432,117822,117822,0.117822,97.59,0.00,57044,31723
2025-10-30T15:59:58+00:00,18044518,117086,117086,0.117086,96.97,0.00,55774,31267
2025-10-30T15:59:59+00:00,18159692,115174,115174,0.115174,98.15,0.00,54652,31473
2025-10-30T16:00:00+00:00,18274312,114620,114620,0.114620,98.15,0.00,54544,32465
2025-10-30T16:00:01+00:00,18389388,115076,115076,0.115076,98.77,0.00,54872,32513
2025-10-30T16:00:02+00:00,18504510,115122,115122,0.115122,98.76,0.00,55096,32047
2025-10-30T16:00:03+00:00,18619814,115304,115304,0.115304,96.99,0.00,55371,32847
2025-10-30T16:00:04+00:00,18736604,116790,116790,0.116790,96.99,0.00,56251,33539
2025-10-30T16:00:05+00:00,18852054,115450,115450,0.115450,98.17,0.00,55064,31470
2025-10-30T16:00:06+00:00,18968280,116226,116226,0.116226,98.17,0.00,54165,30774
2025-10-30T16:00:07+00:00,19084224,115944,115944,0.115944,98.77,0.00,54924,30714
2025-10-30T16:00:08+00:00,19200612,116388,116388,0.116388,97.58,0.00,55392,30786
2025-10-30T16:00:09+00:00,19316868,116256,116256,0.116256,98.17,0.00,55348,30972
2025-10-30T16:00:10+00:00,19434558,117690,117690,0.117690,98.17,0.00,56027,31060
2025-10-30T16:00:11+00:00,19550058,115500,115500,0.115500,98.17,0.00,54930,31060
2025-10-30T16:00:12+00:00,19665856,115798,115798,0.115798,98.16,0.00,55307,32468
2025-10-30T16:00:13+00:00,19781852,115996,115996,0.115996,97.01,0.00,55592,32991
2025-10-30T16:00:14+00:00,19898612,116760,116760,0.116760,97.58,0.00,56026,32690
2025-10-30T16:00:15+00:00,20015170,116558,116558,0.116558,97.58,0.00,56014,33668
2025-10-30T16:00:16+00:00,20130400,115230,115230,0.115230,97.56,0.00,54900,32183
2025-10-30T16:00:17+00:00,20246104,115704,115704,0.115704,97.58,0.00,55752,33771
2025-10-30T16:00:18+00:00,20362346,116242,116242,0.116242,96.41,0.00,55512,33342
2025-10-30T16:00:19+00:00,20477894,115548,115548,0.115548,98.17,0.00,55111,32324
2025-10-30T16:00:20+00:00,20594236,116342,116342,0.116342,98.77,0.00,54991,32316
2025-10-30T16:00:21+00:00,20709418,115182,115182,0.115182,98.16,0.00,54662,31810
2025-10-30T16:00:22+00:00,20824938,115520,115520,0.115520,96.97,0.61,55096,32036
2025-10-30T16:00:23+00:00,20870996,46058,46058,0.046058,98.42,0.00,22072,12447
2025-10-30T16:00:24+00:00,20870996,0,0,0.000000,99.02,0.00,162,257
2025-10-30T16:00:25+00:00,20870996,0,0,0.000000,99.01,0.00,156,198
2025-10-30T16:00:26+00:00,20870996,0,0,0.000000,99.50,0.00,125,219
2025-10-30T16:00:27+00:00,20870996,0,0,0.000000,99.51,0.00,121,224
2025-10-30T16:00:28+00:00,20870996,0,0,0.000000,99.01,0.00,160,211
2025-10-30T16:00:29+00:00,20870996,0,0,0.000000,99.02,0.00,140,219
2025-10-30T16:00:30+00:00,20870996,0,0,0.000000,99.01,0.00,178,243
2025-10-30T16:00:31+00:00,20870996,0,0,0.000000,99.02,0.00,146,207
