ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T16:48:15+00:00,86991053,0,0,0.000000,99.50,0.00,119,133
2025-10-30T16:48:16+00:00,86991053,0,0,0.000000,99.50,0.00,152,232
2025-10-30T16:48:17+00:00,86991053,0,0,0.000000,99.01,0.00,131,188
2025-10-30T16:48:18+00:00,86991053,0,0,0.000000,99.02,0.00,121,204
2025-10-30T16:48:19+00:00,86991053,0,0,0.000000,99.01,0.00,179,207
2025-10-30T16:48:20+00:00,86991053,0,0,0.000000,99.01,0.00,178,230
2025-10-30T16:48:21+00:00,86991053,0,0,0.000000,99.02,0.00,182,225
2025-10-30T16:48:22+00:00,86991053,0,0,0.000000,99.02,0.00,152,229
2025-10-30T16:48:23+00:00,86991053,0,0,0.000000,99.01,0.00,143,202
2025-10-30T16:48:24+00:00,86991053,0,0,0.000000,99.02,0.00,141,190
2025-10-30T16:48:25+00:00,86991053,0,0,0.000000,99.01,0.00,167,216
2025-10-30T16:48:26+00:00,86991053,0,0,0.000000,99.02,0.00,141,198
2025-10-30T16:48:27+00:00,86991053,0,0,0.000000,98.54,0.00,151,260
2025-10-30T16:48:28+00:00,87053133,62080,62080,0.062080,90.80,0.00,16990,606
2025-10-30T16:48:30+00:00,87102423,49290,49290,0.049290,59.41,0.00,86891,502
2025-10-30T16:48:31+00:00,87102679,256,256,0.000256,49.50,0.00,126078,285
2025-10-30T16:48:32+00:00,87102871,192,192,0.000192,49.01,0.00,120246,285
2025-10-30T16:48:33+00:00,87102935,64,64,0.000064,49.25,0.00,122269,286
2025-10-30T16:48:34+00:00,87103255,320,320,0.000320,49.26,0.00,119765,303
2025-10-30T16:48:35+00:00,87103511,256,256,0.000256,49.50,0.00,120044,290
2025-10-30T16:48:36+00:00,87103575,64,64,0.000064,49.25,0.00,122767,280
2025-10-30T16:48:37+00:00,87104151,576,576,0.000576,49.26,0.00,116488,315
2025-10-30T16:48:38+00:00,87104343,192,192,0.000192,49.50,0.00,118800,293
2025-10-30T16:48:39+00:00,87104791,448,448,0.000448,49.01,0.00,121960,308
2025-10-30T16:48:40+00:00,87117491,12700,12700,0.012700,51.83,0.00,109619,592
2025-10-30T16:48:41+00:00,87233971,116480,116480,0.116480,77.61,0.00,30946,813
2025-10-30T16:48:42+00:00,87313839,79868,79868,0.079868,59.65,0.00,58665,666
2025-10-30T16:48:43+00:00,87314287,448,448,0.000448,49.26,0.00,120348,308
2025-10-30T16:48:44+00:00,87314543,256,256,0.000256,49.25,0.00,121075,295
2025-10-30T16:48:45+00:00,87314607,64,64,0.000064,49.50,0.00,124074,280
2025-10-30T16:48:46+00:00,87314671,64,64,0.000064,49.50,0.00,127171,285
2025-10-30T16:48:47+00:00,87314735,64,64,0.000064,49.01,0.00,122066,277
2025-10-30T16:48:48+00:00,87315119,384,384,0.000384,49.25,0.00,118569,296
2025-10-30T16:48:49+00:00,87315567,448,448,0.000448,49.75,0.00,120663,250
2025-10-30T16:48:50+00:00,87315759,192,192,0.000192,49.01,0.00,125881,288
2025-10-30T16:48:51+00:00,87315951,192,192,0.000192,49.01,0.00,122952,421
2025-10-30T16:48:52+00:00,87316207,256,256,0.000256,50.00,0.00,121524,298
2025-10-30T16:48:53+00:00,87316527,320,320,0.000320,48.77,0.00,118570,299
2025-10-30T16:48:54+00:00,87316911,384,384,0.000384,49.25,0.00,122668,304
2025-10-30T16:48:55+00:00,87317295,384,384,0.000384,49.50,0.00,117625,306
